https://www.tompetty.com/news/buried-treasure-show-001-repeat-season-1-show-1-may-8-14-2017-1728161

The Quik|Bert’s Apple Crumble|The In Crowd: Ultimate Mod Collection From The Original Style Movement 1958-1967
Tommy Tucker|Hi-Heel Sneakers|The In Crowd: Ultimate Mod Collection From The Original Style Movement 1958-1967
Shirley Ellis|The Nitty Gritty|The Very Best of Shirley Ellis
Ernie K-Doe|A Certain Girl|Absolutely The Best
Ann Peebles|(You Keep Me) Hangin’ On|The Best of Ann Peebles: The Hi Records Years
The Beatles|Leave My Kitten Alone|Anthology 1
Little Walter|My Babe|His Best
Willie Mitchell|That Driving Beat|Soul Serenade – The Best of Willie Mitchell
Chuck Berry|Tulane|Gold
Humble Pie|Hot ’N’ Nasty|Smokin'
Jr. Walker & The All Stars|Road Runner|The Definitive Collection
Elmore James|Hawaiian Boogie|The Sky Is Crying: The History of Elmore James
Love|Alone Again Or|Forever Changes
Georgie Fame & The Blue Flames|Yeh Yeh|The In Crowd: Ultimate Mod Collection From The Original Style Movement 1958-1967
Sandy Nelson|Let There Be Drums|Let There Be Drums
The McCoys|Fever|Hang On Sloopy: The Best of The McCoys
Joe Tex|I Believe I’m Gonna Make It|Greatest Hits
Spirit|Fresh Garbage|The Best of Spirit
Led Zeppelin|Good Times Bad Times|Led Zeppelin
Sonny Boy Williamson|Let Your Conscience Be Your Guide|His Best
Johnny Winter|Highway 61 Revisited|The Best of Johnny Winter
The Mar-Keys|Double Or Nothing|Complete/Stax Volt Soul Singles 1968-1971 Vol 2


https://www.tompetty.com/news/buried-treasure-show-002-repeat-season-1-show-2-may-15-21-2017-1729256

Jerry Lee Lewis|Honey Hush|Killer (The Mercury Years) Vol. 3 1973-1977
Big Mama Thornton|Hound Dog|Hound Dog: The Peacock Recordings
Cream|Steppin’ Out|BBC Sessions
Albert King|Blues Power|The Complete Stax/Volt Soul Singles Vol 2 1968-1971
Bo Diddley|You Don’t Love Me (You Don’t Care)|His Best
Canned Heat|On The Road Again|The Best of Canned Heat
Johnny Kidd & The Pirates|Shakin’ All Over|Loud, Fast & Out Of Control: The Wild Sound of 50’s Rock
Ray Charles|Drown In My Own Tears|Best Of Ray Charles: The Atlantic Years
Rolling Stones|Look What You’ve Done|December’s Children (and everybody’s)
Yardbirds|I’m A Man|Ultimate
Lonnie Mack|Memphis|Rock Instrumental Classics, Volume 2
Nashville Teens|Tobacco Road|Tobacco Road
Manfred Mann|Sack O'Woe|The Manfred Mann Album
Wilson Pickett|Mustang Sally|Greatest Hits
Swinging Blue Jeans|Hippy Hippy Shake|Hippy Hippy Shake: The Definitive Collection
King Curtis|Soul Serenade|The Best of King Curtis
Freddie King|Lonesome Whistle Blues|Ultimate Collection
Little Richard|True Fine Mama|The Essential Little Richard
Slim Harpo|I Got Love If You Want It|The Excello Singles Anthology
The Kinks|Till The End Of The Day|The Singles Collection


https://www.tompetty.com/news/buried-treasure-show-003-repeat-season-1-show-3-may-22-28-2017-1729686

Screamin’ Jay Hawkins|Little Demon|The Singles Collection
Oscar Mack|I See My Baby Coming|4000 Volts of Stax & Satellite
Linda Lyndell|What A Man|Complete Stax/Volt Should Singles 1968-1971 Vol. 2
Wanda Jackson|Fujiyama Mama|Loud, Fast & Out Of Control: The Wild Sounds of 50’s Rock
Jude Clay & William Bell|Private Number|Complete Stax/Volt Should Singles 1968-1971 Vol. 2
Velvelettes|Needle In A Haystack|Hitsville USA: The Motown Singles 1968-1971 Vol. 2
Little Richard|Lucille|The Essential Little Richard
Taj Mahal|Keep Your Hands Off Her|Giant Step
Chuck Berry|Guitar Boogie|The Anthology
Johnny Burnette|Honey Hush|Loud, Fast & Out Of Control: The Wild Sounds of 50’s Rock
Bo Diddley|Pretty Thing|His Best
Yardbirds|Little Games|Ultimate!
Jimi Hendrix Experience|Come On|Electric Ladyland
The Zombies|Summertime|The Zombies
Bob Dylan|If Not For You|New Morning
Hank Ballard & The Midnighters|Let’s Go, Let’s Go, Let’s Go|The Very Best of Hank Ballard & The Midnighters
Sandy Nelson|Drum Roll 9|Let There Be Drums
